description;reference;external_referential_description;type;nb_of_vcpu;total_disk;lifespan
Rack server / 2 processor high-end / 1 SSD: 1024 GB each / 0 HDD / 16 RAM, 16 GB each / 1 GPU;rack-server--42;Rack server / 2 processor high-end / 1 SSD: 1024 GB each / 0 HDD / 16 RAM, 16 GB each / 1 GPU;Compute;;;
Rack server / 2 processor high-end / 1 SSD: 1024 GB each / 0 HDD / 24 RAM, 16 GB each / 1 GPU;rack-server--43;Rack server / 2 processor high-end / 1 SSD: 1024 GB each / 0 HDD / 24 RAM, 16 GB each / 1 GPU;Compute;;;
Rack server / 2 processor high-end / 1 SSD: 1024 GB each / 0 HDD / 48 RAM, 16 GB each / 1 GPU;rack-server--44;Rack server / 2 processor high-end / 1 SSD: 1024 GB each / 0 HDD / 48 RAM, 16 GB each / 1 GPU;Compute;;;
Rack server / 2 processor high-end / 1 SSD: 1024 GB each / 0 HDD / 48 RAM, 64 GB each / 1 GPU;rack-server--45;Rack server / 2 processor high-end / 1 SSD: 1024 GB each / 0 HDD / 48 RAM, 64 GB each / 1 GPU;Compute;;;
Rack server / 2 processor high-end / 4 SSD: 2048 GB each / 0 HDD / 2 RAM, 4 GB each / 1 GPU;rack-server--46;Rack server / 2 processor high-end / 4 SSD: 2048 GB each / 0 HDD / 2 RAM, 4 GB each / 1 GPU;Compute;;;
Rack server / 2 processor high-end / 4 SSD: 2048 GB each / 0 HDD / 2 RAM, 16 GB each / 1 GPU;rack-server--47;Rack server / 2 processor high-end / 4 SSD: 2048 GB each / 0 HDD / 2 RAM, 16 GB each / 1 GPU;Compute;;;
Rack server / 2 processor high-end / 4 SSD: 2048 GB each / 0 HDD / 8 RAM, 16 GB each / 1 GPU;rack-server--48;Rack server / 2 processor high-end / 4 SSD: 2048 GB each / 0 HDD / 8 RAM, 16 GB each / 1 GPU;Compute;;;
Rack server / 2 processor high-end / 4 SSD: 2048 GB each / 0 HDD / 16 RAM, 16 GB each / 1 GPU;rack-server--49;Rack server / 2 processor high-end / 4 SSD: 2048 GB each / 0 HDD / 16 RAM, 16 GB each / 1 GPU;Compute;;;
Rack server / 2 processor high-end / 4 SSD: 2048 GB each / 0 HDD / 24 RAM, 16 GB each / 1 GPU;rack-server--50;Rack server / 2 processor high-end / 4 SSD: 2048 GB each / 0 HDD / 24 RAM, 16 GB each / 1 GPU;Compute;;;
Rack server / 2 processor high-end / 4 SSD: 2048 GB each / 0 HDD / 48 RAM, 16 GB each / 1 GPU;rack-server--51;Rack server / 2 processor high-end / 4 SSD: 2048 GB each / 0 HDD / 48 RAM, 16 GB each / 1 GPU;Compute;;;
Rack server / 2 processor high-end / 4 SSD: 2048 GB each / 0 HDD / 48 RAM, 64 GB each / 1 GPU;rack-server--52;Rack server / 2 processor high-end / 4 SSD: 2048 GB each / 0 HDD / 48 RAM, 64 GB each / 1 GPU;Compute;;;
Blade server / 1 processor low-end / 0 SSD: 0 GB each / 1 HDD / 2 RAM, 4 GB each / 0 GPU;blade-server--1;Blade server / 1 processor low-end / 0 SSD: 0 GB each / 1 HDD / 2 RAM, 4 GB each / 0 GPU;Compute;;;
Blade server / 1 processor low-end / 0 SSD: 0 GB each / 1 HDD / 2 RAM, 16 GB each / 0 GPU;blade-server--2;Blade server / 1 processor low-end / 0 SSD: 0 GB each / 1 HDD / 2 RAM, 16 GB each / 0 GPU;Compute;;;
Blade server / 1 processor low-end / 0 SSD: 0 GB each / 1 HDD / 8 RAM, 16 GB each / 0 GPU;blade-server--3;Blade server / 1 processor low-end / 0 SSD: 0 GB each / 1 HDD / 8 RAM, 16 GB each / 0 GPU;Compute;;;
Blade server / 1 processor low-end / 0 SSD: 0 GB each / 4 HDD / 2 RAM, 4 GB each / 0 GPU;blade-server--4;Blade server / 1 processor low-end / 0 SSD: 0 GB each / 4 HDD / 2 RAM, 4 GB each / 0 GPU;Compute;;;
Blade server / 1 processor low-end / 0 SSD: 0 GB each / 4 HDD / 2 RAM, 16 GB each / 0 GPU;blade-server--5;Blade server / 1 processor low-end / 0 SSD: 0 GB each / 4 HDD / 2 RAM, 16 GB each / 0 GPU;Compute;;;
Blade server / 1 processor low-end / 0 SSD: 0 GB each / 4 HDD / 8 RAM, 16 GB each / 0 GPU;blade-server--6;Blade server / 1 processor low-end / 0 SSD: 0 GB each / 4 HDD / 8 RAM, 16 GB each / 0 GPU;Compute;;;
Blade server / 1 processor low-end / 1 SSD: 1024 GB each / 0 HDD / 2 RAM, 16 GB each / 0 GPU;blade-server--7;Blade server / 1 processor low-end / 1 SSD: 1024 GB each / 0 HDD / 2 RAM, 16 GB each / 0 GPU;Compute;;;
Blade server / 1 processor low-end / 1 SSD: 2048 GB each / 0 HDD / 8 RAM, 16 GB each / 0 GPU;blade-server--8;Blade server / 1 processor low-end / 1 SSD: 2048 GB each / 0 HDD / 8 RAM, 16 GB each / 0 GPU;Compute;;;
Blade server / 1 processor low-end / 2 SSD: 1024 GB each / 0 HDD / 2 RAM, 16 GB each / 0 GPU;blade-server--9;Blade server / 1 processor low-end / 2 SSD: 1024 GB each / 0 HDD / 2 RAM, 16 GB each / 0 GPU;Compute;;;
Blade server / 1 processor low-end / 2 SSD: 2048 GB each / 0 HDD / 8 RAM, 16 GB each / 0 GPU;blade-server--10;Blade server / 1 processor low-end / 2 SSD: 2048 GB each / 0 HDD / 8 RAM, 16 GB each / 0 GPU;Compute;;;
